word,translate
безоговорочно,"unreservedly, without reserve, unconditionally"
наискосок,"obliquely, slantwise"
невмоготу,"unbearable, intolerable"
веско,with authority
безрезультатно,"without result, in vain, to no purpose"
немножечко,a wee bit
доверху,"up to the top, to the brim"
наземь,"to the ground, down"
вчетвером,four
итого,"in all, altogether, total"
накрест,crosswise
заживо,alive
опрометью,headlong
скупо,"stingily, sparingly"
восвояси,out of here
навек,"for ever, for good, for ever and ever"
вдвойне,"double, doubly, particularly, especially"
сдуру,"out of foolishness, foolishly"
невпопад,"not to the point, out of place, inopportunely"
чутко,"keenly, tactfully"
подло,vile
сгоряча,"in a fit of temper, in the heat of the moment, rashly"
покойно,quietly
зверски,"brutally, bestially, awfully, terribly"
попусту,"in vain, to no purpose"
накрепко,"fast, firmly, strictly"
кисло,"sourly, acidly"
покамест,Meanwhile
вчетверо,four times
нещадно,mercilessly
наискось,"obliquely, slantwise"
сообща,"together, jointly"
поверху,on top
преспокойно,"very quietly, imperturbably"
единогласно,unanimously
мудро,Wisely
дословно,literally
ввысь,high into the air
спросонья,half awake
наперевес,tilted forwards
воочию,Firsthand
плашмя,"flat, flatways, flatwise, prone"
напролёт,all the way
беспрекословно,"implicitly, unquestioningly, without demur"
поровну,equally
досадно,"it is a nuisance, it is a pity"
смачно,with relish
бесцельно,"aimlessly, pointlessly"
промеж,"between, among"
непомерно,excessively
дос,pill-box
вручную,by hand
давненько,for quite a while
благосклонно,"with favour, favourably"
вперемежку,"alternately, in turn, turn and turn about"
донельзя,"to the utmost, in the extreme"
преждевременно,prematurely
книзу,downwards
сродни,"akin, in relationship"
применительно,"conformably, in conformity, as applied"
вкупе,together
вволю,in plenty
умышленно,deliberately
заочно,"without seeing, by default, by correspondence"
напоказ,for show
досрочно,before the appointed time
внеземной,extraterrestrial
вровень,"flush, level"
степенно,gravely
исподтишка,"stealthily, in an underhand way"
трагически,tragically
позарез,urgently
раздельно,separately
навряд,"scarcely likely, hardly"
впервой,for the first time ever
систематически,"systematically, methodically"
спьяну,in a state of drunkenness
недурно,rather well
ежемесячно,"monthly, every month"
допоздна,till midnight
шестью,six times
досыта,to satiety; to satisfaction
однофамилец,"person bearing the same surname, namesake"
сокращённо,"briefly, in abbreviated form"
притворно,"affectedly, hypocritically"
доподлинно,for certain
интуитивно,"intuitively, by intuition"
радушно,cordially
детально,"in detail, minutely"
врассыпную,"in all directions, helter-skelter"
безукоризненно,impeccably
складно,well
страшновато,A bit scary
нечасто,not often
образно,"figuratively, graphically"
впрок,"for future use, to advantage"
стремглав,headlong
храбро,bravely
многовато,"a bit too much, a bit too thick"
уместно,"it is appropriate, it is not out of place, appropriately, aptly, in place, opportunely"
наповал,"outright, on the spot"
звучно,"loudly, sonorously"
наслышан,familiar by hearsay
начеку,"on the alert, on the look-out"
походя,"as one goes along, on the march, in passing, in an offhand manner"
наперекор,"in defiance of, counter"
предположительно,"supposedly, presumably, probably"
дотла,"utterly, completely, to the ground"
взаймы,"loan, on loan"
ошибочно,"by mistake, erroneously"
несравненно,"incomparably, matchlessly, peerlessly, far, by far"
томно,"languidly, languorously"
набекрень,"aslant, tilted"
свысока,in a haughty manner
шутя,"in jest, for fun, jokingly, facetiously, easily"
настрого,strictly
мудрено,"ingeniously, subtly"
невдомёк,unaware
единодушно,"unanimously, by common consent, as one man"
взаимно,"mutually, reciprocally"
безопасно,"it is safe, safely"
безупречно,"perfect, flawless, impeccable"
немудрено,"no wonder, small wonder"
грешно,it is a sin
безучастно,"apathetically, with indifference"
налегке,"without luggage, lightly clad"
подлинно,really
громогласно,"loud, in a loud voice, openly, publicly"
нежданно,unexpectedly
наименее,least
инкогнито,incognito
визгливо,shrilly
фурункул,"furuncle, boil"
попеременно,"in turn, by turns, alternately"
крадучись,stealthily
нимало,"not in the least, not at all"
трудновато,it is not easy
впопыхах,"in a hurry, hastily, hurry-scurry"
четырежды,four times
тактично,"tactfully, with tact"
вперемешку,"pell-mell, higgledy-piggledy, in a jumble"
стихийно,spontaneously
понемножку,"little, a little at a time, little by little"
наперегонки,"competing in speed, racing one another"
терпимо,"tolerantly, tolerably"
трусливо,apprehensively
вприпрыжку,"skipping, hopping"
письменно,"in writing, in written form"
томительно,it is wearisome
сносно,"tolerably, so-so, pretty well"
вкось,"obliquely, slantwise, aslant"
неоткуда,from nowhere
затемно,"before dawn, before daybreak, after dark"
бездарно,without any show of talent
понаслышке,by hearsay
наотмашь,with the back of your hand; over the top; overgesticularily
метко,"neatly, to the point"
изумительно,"amazingly, wonderfully"
прилежно,"diligently, industriously, assiduously, studiously"
десятью,ten times
заблаговременно,"in advance, early, in good time, ahead of time"
всесторонне,"comprehensively, thoroughly, closely, in detail, all around"
насилу,"with difficulty, hardly"
посмертно,posthumously
художественно,artistically
постольку,"in so far as, inasmuch as"
железно,without fail
ничегошеньки,"nothing at all, not a thing"
навеселе,one over the eight
безвозмездно,"gratis, free of charge"
врозь,"separately, apart"
произвольно,"at will, arbitrarily"
роскошно,"luxuriously, sumptuously"
ничтожно,"insignificant, miniscule, negligibly, pathetically"
порознь,"separately, apart"
голодно,hungry
включительно,inclusive
взаправду,"really, in truth, indeed"
сызнова,"anew, afresh"
прелестно,"lovely, adorably"
напропалую,"recklessly, desperately"
рьяно,"with zeal, zealously"
единожды,"once only, on one occasion only"
пополудни,"in the afternoon, post meridiem"
подчистую,without remainder
ужо,"later, by and by"
жирно,"fatly, greasily"
гадко,naughty
вольготно,in freedom
неплотно,"not closely, not tightly"
утомительно,"tiresomely, wearisomely"
помногу,in plenty
наружно,outwardly
устно,"orally, verbally, by word of mouth"
нетвёрдо,"not firmly, not for certain"
вразнобой,discordantly
безраздельно,"undividedly, completely, whole-heartedly"
дотоле,"until then, hitherto"
сказочно,dreamy; fabulously
спозаранку,very early
грациозно,gracefully
натощак,on an empty stomach
одинёшенек,quite alone
завидно,envy
второпях,"hastily, in haste, hurriedly"
невпроворот,"a lot, a great deal"
праздно,idly
засветло,"before nightfall, before dark"
взаперти,"locked up, under lock and key, in seclusion"
заслуженно,deservedly
вскачь,"at a gallop, full gallop"
абы,"provided that, as long as"
синхронно,synchronously
скользко,slippery
ежечасно,"hourly, every hour"
пропорционально,in proportion
сытно,well
невтерпёж,"unbearable, intolerable"
баста,stop; that' s enough
узко,"narrowly, tightly"
вширь,in breadth
односложно,monosyllabically
талантливо,"ably, finely"
вовек,"for ever, never"
всенародно,publicly
незаслуженно,"undeservedly, wrongly"
доколе,"until, as long as"
визави,"opposite, facing, vis-a-vis, the person facing"
полбеды,"half the trouble, a small loss"
нагишом,stark naked
коллективно,collectively
бэби,Baby
премного,"very much, extremely"
дивно,"marvellously, wonderfully"
пыльно,it is dusty
гибко,flexibly
спросонок,being only half-awake
десятеро,ten
броском,with one throw
впятером,five
попарно,in pairs
касательно,concerning
каре,square
наново,anew
вкривь,"aslant, wrongly, perversely"
впритык,"very close, just, barely"
средне,"middling, so-so"
брысь,scat
ветрено,"it is windy, frivolously"
намедни,"the other day, lately"
нескладно,"clumsily, awkwardly"
вчистую,finally
щекотно,it tickles
впроголодь,half-starving
видеозапись,videotape recording
шикарно,smartly
издревле,"of yore, from of old, since olden days"
урывками,"in snatches, by fits and starts"
вполовину,half
поимённо,by name
вразрез,"counter to, contrary to"
отвесно,"plumb, sheer"
планомерно,"systematically, regularly, according to plan"
насухо,dry
анфас,full face
наобум,at random
благотворно,beneficially
конфиденциально,"in confidence, confidentially"
предпочтительно,"rather, preferably, in preference"
организованно,in an organized way
благожелательно,"with kindness, favourably"
пугающе,scary
нестройно,"dissonantly, discordantly"
ориентировочно,"approximately, as a guide"
втуне,in vain
восьмеро,eight
понизу,"low, along the ground, close to the ground"
поздновато,too late
наудачу,on the off-chance
негосударственный,non-state
электронно,electronically
припеваючи,"like kings, dreamlike"
бордо,"claret, Bordeaux, wine-coloured"
навыворот,"inside out, wrong side out, the wrong way round"
метафорический,"metaphorical, figurative"
безвинно,"guiltlessly, without guilt"
оземь,"to the ground, down"
промтовары,manufactured goods
то,"that, then"
всё,"always, all the time, the whole time, still, only, all, all the same, however, nevertheless"
их,"their, them"
какой-то,"some, a, a kind of, something like"
что-то,"something, somehow, it looks as if"
больше,"bigger, larger, greater, more"
нужно,"it is necessary, must, one should, one ought, you should, you ought, should"
кто-то,somebody
рядом,"near, next to, side by side, beside, by, next, next door"
из-за,"because of, due to; from, from behind"
всё-таки,"for all that, still, nevertheless, all the same, however"
как-то,"somehow, one day, that is, how"
всего,"in all, only"
какой-нибудь,"some, some kind of, any, about"
необходимо,it is necessary
известно,it is known
дома,at home
что-нибудь,"anything, something"
почему-то,for some reason
где-то,"somewhere, anywhere"
лучше,"better, it is better"
когда-то,"once, formerly"
давай,let us
пожалуй,"perhaps, very likely, may, I think"
во-первых,"first, first of all, in the first place, for one thing, firstly"
лично,personally
из-под,from under; out of; from
кто-нибудь,"somebody, someone, anybody, anyone"
по-прежнему,"as before, as usual"
во-вторых,secondly
куда-то,"somewhere, anywhere"
похоже,probably; it seems
чего,what
жаль,it is a pity
неизвестно,it is not known
стыдно,it is a shame
кое-что,"something, a little"
когда-нибудь,"some time, some day, ever"
вернее,or rather
по-видимому,"apparently, to all appearance, evidently, obviously"
по-настоящему,"in the right way, properly; really"
словом,"in a nutshell, in a word"
угодно,"wanted, needed; any"
вот-вот,"just on the point, just about"
вообще-то,actually
по-русски,"in Russian, Russian"
наряду,alongside
эх,"eh, oh"
чуть-чуть,extremely a little bit
совместно,"in common, jointly, in conference"
где-нибудь,"somewhere, anywhere"
слабо,"faintly, feebly, weakly, bad, poorly"
следом,immediately
по-другому,differently
такой-то,"so-and-so, such person, such-and-such"
максимально,"at most, as much as possible"
что-либо,"anything, something"
торопливо,"hurriedly, hastily, in haste"
родные,"relatives, kin, loved ones"
по-разному,"differently, in different ways"
как-нибудь,"somehow, anyhow, some time"
откуда-то,from somewhere
тем,"the, so much the"
разом,"at the same time, together, at once, at one go"
дабы,"in order, in order that he, may"
старательно,"with application, with assiduity, studiously, assiduously, with diligence, diligently, zealously"
толком,"plainly, clearly, seriously, earnestly"
куда-нибудь,"somewhere, anywhere"
сё,this
ну-ка,"now, come on; well let's see"
бывало,would
в-третьих,"thirdly, in the third place"
кое-как,"muddle, sloppy, haphazardly, pell-mell, with difficulty"
временно,"temporarily, provisionally"
кое-кто,"somebody, some people"
так-то,so
коли,if
опять-таки,"but again, besides, and what is more, again"
неправильно,"wrong, irregularly, incorrectly, erroneously, mis-"
первое,first course
шёпотом,in a whisper
желательно,"it is advisable, it is useful (+infinitive or чтобы); one wants (+ dative of agent)"
даром,"for nothing, gratis, free, for next to nothing, for a trifle, for a song, in vain, to no purpose"
кое-где,here and there
по-английски,In English
машинально,"mechanically, absent-mindedly"
необыкновенно,"unusually, uncommonly"
давным-давно,"very long ago, long long ago, ages ago"
кто-либо,"somebody, someone, anybody, anyone"
пресс-служба,"Press office, press center"
бегом,"at a run, running, at the double, double-quick"
нетерпеливо,impatiently
военно-морской,naval
снисходительно,"indulgently, leniently, condescendingly"
туда-сюда,"hither and thither, it will do, it is passable, it will pass muster; back and forth"
ан,on the contrary
по-новому,in a new fashion
чудом,miraculously
блестяще,brilliantly
то-то,how
сколько-нибудь,any
генерал-майор,"major-general, Major-General"
вольно,"freely, at ease"
неудивительно,not surprisingly
как-никак,after all
безжалостно,merciless
когда-либо,"ever, some time, some day"
невыносимо,"unbearably, unsufferably"
сосредоточенно,with concentration
ну-ну,"well-well, there-there"
принято,"it is accepted, it is usual"
многозначительно,"significantly, with meaning"
просто-напросто,simply
слышь,say
удовлетворённо,with satisfaction
щас,right now
верхом,"astride, on horseback, to the brim, brim-full"
первоочередной,"first and foremost, immediate"
еле-еле,"hardly, barely"
более-менее,more or less
общественно-политический,social and political
угрожающе,"threateningly, menacingly"
криво,"crookedly, awry"
по-иному,"differently, in a different way"
нерешительно,irresolute
порой,"at times, now and then"
прямиком,straight
раньше,before
свято,piously
чего-то,something
бойко,smartly
браво,bravo
вдохновенно,"inspiredly, with enthusiasm, enthusiastically"
мало-помалу,"little by little, bit by bit, gradually, by slow degrees"
мигом,"in a flash, in a jiffy"
член-корреспондент,"corresponding member, Corresponding Member"
безропотно,without a murmur
бесцеремонно,"without ceremony, in a free and easy manner, with undue familiarity"
по-нашему,"as we think, in, according to, our opinion, to our way of thinking, as we would wish, as we would have it, as we advise, according to our custom"
трогательно,"it is touching, touchingly, movingly, pathetically"
здравствуйте,hello
увлечённо,"with enthusiasm, with animation"
допустим,let us assume
непринуждённо,"without embarrassment, unconstrainedly"
неизмеримо,immeasurably
разочарованно,"with disappointment, disappointedly"
агропромышленный,agroindustrial
мало-мальски,"in the slightest degree, to the slightest extent"
неистово,"furiously, violently"
по-моему,in my opinon
по-вашему,"in your opinion, as you would have it"
довольно-таки,"quite, somewhat"
здрасте,Short form of здравствуйте
в-четвёртых,"fourthly, in the fourth place"
навалом,"in bulk, a lot of"
положим,let us assume
порядком,"pretty, rather, a good deal, properly, thoroughly"
по-старому,"as before, as of old"
беспрестанно,"continually, incessantly"
вкрадчиво,"insinuatingly, ingratiatingly"
безмятежно,"serenely, quietly"
безнаказанно,with impunity
легкомысленно,"lightly, thoughtlessly, flippantly"
по-хозяйски,"thriftily, wisely"
философски,philosophically
великодушно,"it shows generosity, magnanimously, generously"
волей-неволей,"willy-nilly, like it or not"
госслужащий,public servant
особняком,by oneself
по-домашнему,"simply, without ceremony"
празднично,festively
беспорядочно,"in confusion, in disorder, higgledy-piggledy"
много-много,at most
услужливо,"helpfully, obligingly"
аккурат,"exactly, precisely"
авансом,in advance
авиабомба,aircraft bomb
авиапочтой,air mail
авторалли,motor rally
адски,"infernally, frightfully, terribly, awfully"
амба,kaput
анданте,andante
апостериори,a posteriori
априори,a priori
архилгун,archliar
баба-яга,Baba-Yaga
бакенбарды,"whiskers, sidewhiskers"
баттерфляй,butterfly stroke
баю-бай,lullaby
безалаберно,"in a disorderly manner, carelessly"
безбедно,comfortably
безвременно,prematurely
безвыездно,"without quitting, without break"
безвыходно,without going out
безгранично,infinitele
беззаветно,"selflessly, devotedly, whole-heartedly"
безобидно,inoffensively
безответственно,irresponsibly
безотказно,"smoothly, without a hitch"
безотлагательно,"urgently, without delay"
безотлучно,"absenting oneself for an instant, without going away for an instant"
безотносительно,irrelative
безрассудно,"rashly, recklessly"
безудержно,"without restraint, unrestrainedly, impetuously"
бенефис,benefit performance
беременная,pregnant
бесконтрольно,"uncontrolledly, without any control"
бесперебойно,"without interruption, regularly"
бесплодно,"in vain, vainly, unavailingly"
бесподобно,"it is excellent, excellently, splendidly"
беспорядки,disturbance
беспошлинно,"free of duty, duty-free"
беспременно,"without fail, certainly"
беспристрастно,"impartially, without bias"
беспричинно,"without cause, without motive, for no reason"
беспробудно,"without waking, heavily"
бессменно,"at a stretch, continuously, on end"
бессовестно,"it shows lack of scruple, unscrupulously, without scruple"
благовоспитанно,politely courteously
ближе,"nearer, closer, more intimate"
богаче,richer
боком,sideways
бочком,"sideways, sidewise"
брутто,gross
бултых,plop
буржуазно-демократический,bourgeois-democratic
театр-буфф,comedy
бухарка,Bokharan
быстродействующий,fast-acting
вагоновожатый,tram-driver
ввек,never
ввечеру,in the evening
ввосьмеро,eight times
ввосьмером,eight
вгорячах,in the heat of the moment
вдевятеро,nine times
вдевятером,nine
вдесятеро,ten times
вдесятером,ten
весной,in spring
весною,in spring
вечерело,night was falling
вечерком,in the evening
вечером,in the evening
вечор,"last night, yesternight"
видеотелефон,videotelephone
видеотелефонный,videotelephone
видимо-невидимо,"multitudes, huge numbers, in immense quantity"
визуально,by sight; visually
виндсерфинг,wind-surfing
винтом,spirally
вихрем,like the wind
вкруговую,round
влюблённо,"lovingly, amorously"
внове,"new, strange"
вовеки,"for ever, never"
водонепроницаемый,"watertight, waterproof"
возмутительно,"it is a scandal, it is scandalous, scandalously, outrageously"
волхвы,"the Magi, the Three Wise Men"
воровски,"thievishly, in an underhand way"
ворчливо,"peevishly, querulously"
восемью,eight times
восьмичасовой,"of eight hours, eight-hour"
вотще,in vain
вполнакала,"dimly, half-heartedly"
впопад,apropos
впритирку,very tightly
впросонках,"still half asleep, only half awake"
впятеро,five times
в-пятых,"fifthly, in the fifth place"
враждебно,"hostilely, with enmity, with animosity"
вразбивку,"at random, at haphazard"
вразброд,"separately, disunitedly, in disunity"
вразброс,separately
врастяжку,at full length
временами,"at times, now and then, now and again, from time to time"
врукопашную,hand to hand
всемерно,"to the utmost, in every possible way, in every way possible"
всемеро,"seven times, sevenfold"
всемером,seven
всплошную,in a solid mass
встарь,"in olden times, formerly, in olden days, of old"
всуе,in vain
всухую,without scoring a point
втёмную,"blindly, in the dark"
втридорога,triple the price
втройне,three times as much
вчерне,in the rough
ВЧК,All-Russian Special Commission for Combating Counter-revolution and Sabotage
вчуже,as an outsider
вшестеро,"six times, sixfold"
вшестером,six
въявь,in reality
выдуманный,"made-up, concocted, fabricated, invented"
выпукло,"in relief, vividly, graphically"
высокопарно,"grandiloquently, bombastically, in a high-flown manner"
вычурно,"pretentiously, artificially, in a bizarre manner"
галопом,at a gallop
гантели,dumb-bells
где-либо,"somewhere, anywhere"
герметически,hermetically
гермоперчатки,pressurized gloves
завод-гигант,giant factory
гидрографический,hydrographic
гипосульфит,"hyposulphite, hypo"
гипотермия,hypothermia
гласно,"publicly, openly"
глиссандо,glissando
глубокомысленно,"thoughtfully, with a thoughtful air, with a wise air, looking wise"
гнусаво,"nasally, with a nasal twang, through the nose"
годами,"for years, for years on end"
голословно,without adducing any proof
голышом,stark naked
горделиво,"haughtily, proudly"
горячее,first course
господа,"gentlemen, ladies and gentlemen, Messrs, the masters"
градом,thick and fast
грядёт,"is coming, is approaching, is drawing near"
гуманно,"humanely, with humanity"
гуртом,"wholesale, in a body, en masse"
гурьбой,in a crowd
дальше,"farther, further, then, any longer"
двойняшки,twins
двояко,in two ways
девятью,nine times
дельно,"efficiently, in business-like fashion, sensibly"
день-деньской,"the livelong day, all day long"
десятисложный,decasyllabic
де-факто,de facto
де-юре,de jure
диаметрально,diametrically
диафильм,film strip
дисквалификация,disqualification
дифтерит,diphtheria
днём,"in the day-time, by day, in the afternoon"
докуда,how far
долее,longer
дополна,brimful
досиня,"until blue, until livid"
досконально,thoroughly
досуха,dry
досюда,"up to here, as far as this"
дотемна,until it gets dark
дотуда,"up to there, up to that place"
дочерна,till is black
дочиста,"till is spotless, completely"
душевная,"shower-baths, showers"
единовременно,"once only, on one occasion only, in a lump"
ежеминутно,"every minute, every instant, continually, incessantly"
еженощно,nightly
ежесуточно,every day
по-женски,in a feminine way
забрезжило,it is just beginning to get light
завистливо,"with envy, enviously"
заглазно,"in absence, without seeing"
задёшево,very cheaply
задом,backward
задыхаясь,breathlessly
заездом,"passing through, in transit"
заимообразно,on credit
закономерно,"it is in order, it is as it should be, naturally, appropriately, as the natural result"
залпом,in one gulp
запальчиво,"passionately, heatedly"
заподлицо,flush
зараз,"at once, at a sitting, at one fell swoop, at one blow"
засахаренный,"candied, fruits"
засим,"hereafter, after this"
звуконепроницаемый,sound-proof
здраво,"reasonably, soundly, sensibly"
земляне,"inhabitants of the Earth, dwellers on the planet Earth"
зимой,in winter
идиосинкратический,idiosyncratic
инженер-электрик,electrical engineer
инженер-строитель,inşaat mühəndisi; Civil engineer
интенсификация,intensification
искони,from time immemorial
исподнизу,from underneath
исполу,half and half
исстари,from olden times
как-либо,somehow
каково,how
каракуль,astrakhan fur
келейно,"privately, in camera"
кое-когда,now and then
кое-куда,somewhere
коллегиально,"collectively, jointly"
кондитерская,sweet-shop
контрабандой,instrumental case singular of: контрабанда
кончая,ending with ...
краше,"more beautiful, finer, better"
крепко-накрепко,"very tightly, very firmly, doubly tight"
крест-накрест,"criss-cross, cross-wise"
кувырком,topsyturvy
куда-либо,"somewhere, anywhere"
Кузбасс,the Kuzbas
кукареку,cock-a-doodle-doo
кулисы,"wings, side-scenes, slips, coulisses"
курсы,courses
кустование,"interconnection, interconnecting"
ладушки,pat-a-cake
летом,in summer
лётчик-космонавт,space pilot
литография,"lithograph, lithography"
лук-порей,leek
любо,it is pleasant
любо-дорого,it is a real pleasure
маковые,"papaverous plants, Papaveraceae"
малоразвитой,"underdeveloped, half-educated"
маслоуловитель,"oil catcher, oil collector"
машинизированный,provided with machines
меблированный,furnished
медлительно,sluggishly
местами,here and there
метёт,there is a snow-storm
микрография,micrography
микрокалькулятор,microcalculator
микрофарада,microfarad
лётчик-миллионер,pilot who has flown over a million kilometres
мимоездом,in passing
миндалины,tonsil
многообъективный,"multilens, multiple-lens"
многоцилиндровый,multicylinder
множимое,multiplicand
моментами,now and then
мораториум,moratorium
морозно,it freezes
мотогонки,motor-cycle races
моторалли,motor-cycle rally
мультиплан,multiplane
набело,"clean, fair"
навыкат,bulging
на-гора,"to the surface, to the top"
назади,behind
назидательно,didactically
наипаче,"still more, in paticular"
пруды-накопители,catching basins
наперекосяк,"aslant, askew"
наперечёт,"all without exception, there are few, there are not many"
напрочно,"firmly, solidly"
натрое,in three
натуго,tightly
наудалую,recklessly
нахрапом,"all of a rush, high-handedly"
нацело,"entirely, without a remainder, with nothing left over"
начерно,roughly
нашармака,without paying
нашармачка,without paying
неблагополучно,"not happily, not favourably"
небогато,in a small way
небронированный,unarmoured
невидимкою,invisibly
неволей,"forcibly, by force"
негладко,"unevenly, not smoothly, not fluently"
недёшево,"at a considerable price, by spending much time, energy"
недоброжелательно,with ill-will
недостойно,"it is unworthy, unworthily, meanly"
нежирно,nothing to write home about
незаклеенный,unsealed
неизученный,"unstudied, obscure, unknown, unexplored"
нелегально,illegally
нелишне,it is not out of place
немалочисленный,rather numerous
немилосердно,unmercifully
немилостиво,"ungraciously, severely"
ненадобно,"not wanted, unwanted, not necessary, unnecessary"
ненамеренно,"unintentionally, unwittingly"
необдуманно,rashly
необусловленный,unstipulated
неодолимо,invincibly
неоколониалистский,neo-colonialist
неопрокидывающийся,non-capsizable
неорганизованно,"individually, each for himself, not organized"
неосведомлённый,"uninformed, ill-informed, unaware"
неослабно,"unremittingly, assiduously"
неотлучно,"continually, constantly, permanently"
неподобающе,"in an unseemly manner, improperly"
неполадки,"defects, fault, disagreement"
непоследовательный,"inconsistent, inconsequent"
непочтительно,disrespectfully
непредубеждённый,"unprejudiced, unbiased"
непредусмотрительный,improvident
непрестанно,incessantly
непростительно,"it is unforgivable, it is inexcusable, unpardonably"
непутём,badly
неравно,"what if, I should, you should"
несвязно,incoherently
несказанно,"unspeakably, ineffably"
нетоварищеский,"unfriendly, uncomradely, distant"
нетто,net
неуважительно,disrespectfully
неудовлетворительно,"unsatisfactorily, unsatisfactory"
неукрощённый,untamed
неурегулированный,"outstanding, not settled"
неусовершенствованный,"unimproved, not improved"
нефтеносный,"oil-bearing, petroliferous"
нецелесообразно,"to no purpose, inexpediently"
нешоссированный,unmetalled
низом,along the bottom
новобрачные,the newly-weds
школа-новостройка,newly-built school
номинально,nominally
ноты,music
обдуманно,"deliberately, after careful consideration"
обмороженный,frost-bitten
обок,"close by, near"
обособленно,"apart, aloof, by oneself"
обоюдно,mutually
обтрёпанный,"frayed, shabby"
общеизвестно,"it is generally known, everyone knows that"
общеупотребительный,"current, in general use"
общо,generally
овдовевший,widowed
овдовелый,widowed
огулом,"in a crowd, pell-mell, in a heap, wholesale"
одёр,old hack
одесную,"to the right, on the right hand"
одиножды,one times
слово-однодневка,nonce-word
озимые,winter crops
океанография,oceanography
оковы,"fetters, bondage"
околопестичный,perigynous
омерзительно,sickeningly
оптом,wholesale
оргтехника,"technical means and equipment for accounting, planning and analysis of operations"
орудия,ordnance
осенью,"in autumn, fall"
осквернительница,"defiler, profaner"
отварной,boiled
отвлекающий,counter-attracting
отколе,"whence, where from"
откуда-либо,from somewhere or other
откуда-нибудь,from somewhere or other
отроду,"never, as long as one lives"
отселе,hence
отступя,off
оттоле,"thence, from there"
офтальмолог,ophthalmologist
оцинкованный,zinc-coated
очистки,peelings
ощупью,"groping, fumblingly, by touch"
пагубно,"ruinously, perniciously, banefully"
пантомим,"pantomime, mime, dumb show"
парапсихология,parapsychology
паронепроницаемый,"steam-tight, steam-proof"
пасмурно,"it is cloudy, it is dull"
пацифизм,pacifism
пелёнки,"nappies, swaddling clothes"
пельмени,pelmeni
пентаметрический,"pentametric, pentameter"
перво-наперво,first of all
переборот,"overcome, subdue"
перевёртывать,"turn over, turn, overwind"
перевыборы,"election, re-election"
перегной,humus
перекаты,"shallows, peals, rolls"
переливы,"tints, tinges, play, modulations"
переплётная,bindery
перпендикулярно,perpendicularly
перфокарта,punched card
пианиссимо,pianissimo
пиано,piano
пиччикато,pizzicato
планёр-паритель,soaring glider
планета-спутник,satellite
платёжеспособный,solvent
плиссе,"accordion pleats, accordion-pleated"
плясовой,dance
побольше,"a little older, a little more"
по-братски,"fraternally, like a brother, like brothers"
повально,without exception
поварёшка,ladle
поверхностно,"superficially, perfunctorily, in a perfunctory manner"
по-весеннему,as in spring
повседневно,"daily, everyday"
повыше,"a little higher, a little taller, a little higher up"
подальше,"somewhat, a little, as far as possible; away, rather far off"
подделывательница,"falsifier, forger"
по-дедовски,as of old
подекадно,every ten days
подённо,by the day
подобру-поздорову,"in good time, with a whole skin, while you are still on one piece"
подробнее,at greater length
по-дружески,"in a friendly way, as a friend"
подтяжки,"braces, suspenders"
по-дурацки,"foolishly, like a fool"
по-зверски,"brutally, like a beast, bestially"
позволь,allow me
позже,later
по-зимнему,as in winter
поимённый,nominal
поквартально,"by the quarter, per quarter, every quarter"
полкило,half a kilogram
полагается,one is supposed
полегоньку,by easy stages
полегче,"lighter, a little easier, a little less difficult"
по-летнему,as in summer
ползком,"crawling, on all fours, on hands and knees"
поливитамины,polyvitamins
полиграфия,"polygraphy, printing trades"
полимеры,polymers
пол-литра,"half litre, half litre bottle"
полным-полно,full
полукопытный,subungulate
полупальто,short coat
получше,"a little better, rather better"
полушерстяной,half-woollen
полушутя,half in jest
полюбовно,amicably
по-людски,"as others do, in the accepted manner"
по-мальчишески,"in a boyish way, like a boy"
поменьше,"a little less, less"
помесячно,"by the month, per month, monthly"
помнится,I remember
по-над,"along, by"
понарошку,"for fun, pretending, in pretence"
понедельно,"by the week, per week, weekly"
пониже,"lower, shorter"
по-осеннему,as in autumn
попозже,later
пополуночи,"after midnight, ante meridiem"
по-приятельски,"as a friend, in a friendly manner"
попудно,by the pood
пораньше,"a bit earlier, as early as possible"
порожняком,"empty, without a load"
поротно,by companies
по-рыцарски,in a chivalrous manner
по-свойски,in a familiar way
поскорее,somewhat quicker
посменно,"in turn, by turns"
по-соседски,in a neighbourly way
посотенно,"by the hundred, by hundreds"
посредственно,"so-so, fair, satisfactory"
постановили,resolved
посуточно,by the day
посуху,on dry land
по-твоему,"in, according to, your opinion, to your way of thinking, as you wish, as you would have it, as you advise"
потруднее,more difficult
потупившись,with downcast eyes
поурочно,by the piece
похолодало,it has got colder
почему-либо,for some reason of other
почему-нибудь,for some reason of other
поштучно,by the piece
превратно,wrongly
прекрасное,the beautiful
прерывисто,in a broken way
престолонаследница,successor to the throne
преумножение,augmenting
привязанный,attached
призма-отражатель,reflecting prism
приметы,distinctive marks
примирительница,"reconciler, conciliator, peace-maker"
примиряюще,in a conciliatory way
принуждённый,"constrained, forced"
принципиальничать,be over-scrupulous
пристрастно,"with partiality, with prejudice"
присутствующие,those present
продуктивно,"productively, efficiently"
проездом,"in transit, passing through, in the course of a journey"
простёгивать,to quilt
противоипритный,anti-mustard-gas
противокислотный,acid-proof
противолихорадочный,antifebrile
противоснарядный,shell-proof
протоактиний,protoactinium
профанация,profanation
профтехучилище,"vocational training school, trade school"
проще,"simplest, easiest; simpler, easier"
прямёхонько,"straight, directly"
психоневропатологический,psychoneuropathologic
